Iteration,Seed,Model,Phase,Accuracy,Precision,Recall,F1-score,ROC_AUC,TP,TN,FP,FN,Time_sec
Run_1,42,efficientnet_b0,Train,0.9927184466019418,0.992735632183908,0.9926875161875163,0.9927035350776018,0.9997894323870389,409,-3,3,3,93529.15
Run_1,42,efficientnet_b0,Test,0.797752808988764,0.8005324648469809,0.8004926108374385,0.7984126984126984,0.9572005964128335,71,-18,18,18,367.76
Run_2,1042,efficientnet_b0,Train,0.9781553398058253,0.9787031654600221,0.9788148148148149,0.978335870116692,0.9998497255632465,403,-9,9,9,109625.98
Run_2,1042,efficientnet_b0,Test,0.8539325842696629,0.8586245597739849,0.8572967980295566,0.8549960967993755,0.9638945353066103,76,-13,13,13,453.0
Run_3,2042,efficientnet_b0,Train,0.9951456310679612,0.9954022988505747,0.9946666666666667,0.9949970131421745,0.9999287982546664,410,-2,2,2,113418.93
Run_3,2042,efficientnet_b0,Test,0.7752808988764045,0.7913848631239935,0.7756055008210181,0.7786966245384095,0.9407662976926016,69,-20,20,20,397.04
Run_4,3042,efficientnet_b0,Train,0.9951456310679612,0.9954022988505747,0.9950185185185184,0.9951850569136788,0.9998137835804609,410,-2,2,2,119264.55
Run_4,3042,efficientnet_b0,Test,0.8202247191011236,0.8272893772893773,0.8260467980295566,0.8204034991693794,0.9428676062919689,73,-16,16,16,413.6
Run_5,4042,efficientnet_b0,Train,0.9951456310679612,0.994750656167979,0.9953703703703703,0.995023495023495,0.9992017039271316,410,-2,2,2,109306.62
Run_5,4042,efficientnet_b0,Test,0.8202247191011236,0.8241418011532954,0.8200944170771757,0.8215956558061821,0.9425721153505585,73,-16,16,16,362.16
Run_6,5042,efficientnet_b0,Train,0.9830097087378641,0.9839710281845379,0.9823727013727014,0.9830537644456904,0.9996292684109495,405,-7,7,7,87139.83
Run_6,5042,efficientnet_b0,Test,0.8202247191011236,0.821587522736948,0.8260467980295566,0.8200968979250302,0.929957640355836,73,-16,16,16,398.21
Run_7,6042,efficientnet_b0,Train,0.9902912621359223,0.9903727013727014,0.9903727013727014,0.9903646922183507,0.9997225290365005,408,-4,4,4,82332.79
Run_7,6042,efficientnet_b0,Test,0.797752808988764,0.8060344827586207,0.795617816091954,0.7983044676756644,0.9243818102350279,71,-18,18,18,370.98
Run_8,7042,efficientnet_b0,Train,0.9902912621359223,0.9903774498844923,0.9907083657083658,0.9905335771922058,0.9995487906999331,408,-4,4,4,83827.83
Run_8,7042,efficientnet_b0,Test,0.7752808988764045,0.7799422799422798,0.7777606732348111,0.7787128076601761,0.9486107037898117,69,-20,20,20,385.25
Run_9,8042,efficientnet_b0,Train,0.9927184466019418,0.9931972789115647,0.9923356643356643,0.9927058111968758,0.9999023723330694,409,-3,3,3,100518.67
Run_9,8042,efficientnet_b0,Test,0.8089887640449438,0.8104454685099846,0.8115763546798029,0.8099527111929632,0.9129486850723945,72,-17,17,17,386.97
Run_10,9042,efficientnet_b0,Train,0.9927184466019418,0.9930712965195724,0.9926875161875163,0.9928701019708649,0.9996947386744287,409,-3,3,3,90283.37
Run_10,9042,efficientnet_b0,Test,0.797752808988764,0.8000821018062397,0.8011596880131363,0.7987345412712109,0.9234569724669691,71,-18,18,18,345.64
