Iteration,Seed,Precision,Recall,F1-score,Accuracy,Phase,TP,TN,FP,FN,Time_sec,ROC_AUC
Run_1,2815604683,0.8562709831366547,0.792428475479323,0.8019509772493248,0.8029925187032418,Train,322,-79,79,79,2401.21,0.9658
Run_1,2815604683,0.7904518196856906,0.7900759441707718,0.7887358757062147,0.7865168539325843,Test,70,-19,19,19,19.27,0.946
Run_2,299097219,0.8167600373482727,0.7555551792839929,0.7583709073303622,0.7680798004987531,Train,308,-93,93,93,2164.35,0.9371
Run_2,299097219,0.8243095646746762,0.8200944170771757,0.821587522736948,0.8202247191011236,Test,73,-16,16,16,21.08,0.9466
Run_3,2339245603,0.7970685579196216,0.6637839561568376,0.6341975760718347,0.6907730673316709,Train,277,-124,124,124,2187.51,0.9291
Run_3,2339245603,0.7893494330275939,0.7903325123152709,0.7880422415588993,0.7865168539325843,Test,70,-19,19,19,20.69,0.9399
Run_4,4108585188,0.8560503315250151,0.73508779356237,0.7396497780398709,0.7531172069825436,Train,302,-99,99,99,2897.61,0.9393
Run_4,4108585188,0.7628858024691357,0.7694991789819375,0.7635805603727728,0.7640449438202247,Test,68,-21,21,21,23.48,0.9333
Run_5,1988154614,0.7933175781298081,0.7227944372012168,0.7194237294571222,0.7381546134663342,Train,296,-105,105,105,2455.32,0.924
Run_5,1988154614,0.8549667178699437,0.8558087027914615,0.8552371984575373,0.8539325842696629,Test,76,-13,13,13,22.31,0.9593
Run_6,530822363,0.7928669002791472,0.6576787619160501,0.6299429862810739,0.683291770573566,Train,274,-127,127,127,2730.25,0.9102
Run_6,530822363,0.8203065134099617,0.8230706075533661,0.8212521462212118,0.8202247191011236,Test,73,-16,16,16,22.23,0.9499
Run_7,3445235175,0.8167945556406818,0.7062395231886759,0.7043467566583693,0.7256857855361596,Train,291,-110,110,110,2047.32,0.9347
Run_7,3445235175,0.7753882915173239,0.7800697865353038,0.7765895435386959,0.7752808988764045,Test,69,-20,20,20,22.32,0.9337
Run_8,2833978694,0.7746617501608427,0.6797778492693748,0.6630438133392627,0.7007481296758105,Train,281,-120,120,120,2707.9,0.9161
Run_8,2833978694,0.8117283950617283,0.8111658456486043,0.8112737544940934,0.8089887640449438,Test,72,-17,17,17,20.4,0.9365
Run_9,805157337,0.8557466410881971,0.7626599389311254,0.7651180237387134,0.7805486284289277,Train,313,-88,88,88,2922.78,0.968
Run_9,805157337,0.8472222222222223,0.8279454022988505,0.8324403296234282,0.8314606741573034,Test,74,-15,15,15,19.37,0.9525
Run_10,3248108534,0.8494801819363222,0.7997211827720303,0.8068769425470457,0.8104738154613467,Train,325,-76,76,76,2118.29,0.959
Run_10,3248108534,0.7865900383141763,0.7911535303776683,0.7882832777159807,0.7865168539325843,Test,70,-19,19,19,19.59,0.9472
