image_id;feature;type
1583;[0.08808688074350357, 0.025288157165050507, 0.14123794436454773, -0.12554293870925903, 0.01746581494808197, 0.10049507021903992, 0.2821323871612549, -0.20428277552127838, 0.03252129256725311, -0.10503549873828888, 0.2602808475494385, -0.27002519369125366, 0.0478673130273819, -0.12560278177261353, -0.027648892253637314, -0.25693464279174805, -0.12276206165552139, 0.12114497274160385, 0.07068521529436111, 0.04516267776489258, 0.07817098498344421, -0.10420910269021988, 0.07256083935499191, 0.3320624530315399, -0.009377826005220413, 0.02668672986328602, 0.08708108961582184, -0.15335041284561157, 0.003081187605857849, -0.04547172784805298, -0.16395461559295654, 0.3643861413002014, 0.13068845868110657, -0.017517589032649994, -0.07538484036922455, -0.03408369421958923, 0.1267152577638626, -0.0026144348084926605, 0.18920010328292847, 0.0014949003234505653, -0.04256247729063034, -0.053839631378650665, 0.1867636889219284, 0.11600903421640396, 0.011435188353061676, -0.12395302951335907, -0.08708891272544861, 0.0043637752532958984, -0.1002349704504013, 0.1508914828300476, -0.0011229738593101501, 0.049658432602882385, 0.09936019033193588, 0.1297343522310257, -0.2045079916715622, 0.05429194122552872, 0.010058272629976273, -0.05410381779074669, -0.023072287440299988, -0.17378950119018555, -0.1118151992559433, -0.21351712942123413, -0.15195927023887634, 0.11721079051494598];0
1585;[0.02248004823923111, -0.2274954915046692, -0.07225722074508667, 0.06116717308759689, 0.039804331958293915, -0.0549214705824852, 0.1748855710029602, -0.14136864244937897, -0.02727901190519333, -0.3216542899608612, 0.24203166365623474, -0.02891319990158081, 0.04273928701877594, -0.2495420128107071, -0.06999070942401886, 0.08610718697309494, -0.07174277305603027, 0.03031412698328495, -0.013480870053172112, -0.018023062497377396, 0.294627845287323, 0.15515770018100739, 0.0355893075466156, -0.16757750511169434, -0.011270370334386826, -0.1525215208530426, 0.034466519951820374, -0.12423503398895264, -0.11892426013946533, -0.056279540061950684, -0.04185054823756218, 0.08418020606040955, 0.07028917968273163, 0.1318635642528534, -0.120765820145607, 0.18347696959972382, -0.1174788773059845, 0.4051890969276428, -0.06265640258789062, -0.09209694713354111, 0.1001843735575676, -0.12152789533138275, -0.13182447850704193, -0.06741676479578018, -0.10614149272441864, 0.07105457037687302, 0.02519124001264572, 0.032674312591552734, 0.15672215819358826, 0.19057819247245789, 0.06487679481506348, 0.3078880310058594, -0.06958570331335068, -0.06033898890018463, -0.21905075013637543, -0.024721551686525345, 0.102354496717453, 0.14060541987419128, 0.11933343857526779, -0.1609068363904953, -0.03708028048276901, -0.05156812071800232, -0.290848046541214, -0.115947425365448];1
1586;[-0.12772198021411896, -0.24937254190444946, -0.021057862788438797, 0.051146380603313446, 0.03140491992235184, -0.000698678195476532, 0.052989035844802856, -0.25303006172180176, -0.048907577991485596, -0.41249164938926697, 0.4088229835033417, -0.06377463042736053, 0.23210729658603668, -0.22535668313503265, -0.0444972887635231, -0.07336162775754929, 0.08004005253314972, 0.04232572019100189, 0.030854443088173866, 0.1330135464668274, -0.006079278886318207, 0.2792331576347351, -0.1601710319519043, 0.055990636348724365, 0.2196696251630783, -0.17315319180488586, -0.0418102964758873, -0.2839738130569458, -0.030928462743759155, -0.2481394112110138, 0.02105279639363289, -0.018375232815742493, -0.030007243156433105, 0.07033056020736694, -0.0567672997713089, 0.1735103279352188, -0.0460563600063324, 0.2823568284511566, 0.06358979642391205, -0.21814511716365814, -0.16420261561870575, -0.21930065751075745, -0.11515642702579498, 0.010403551161289215, -0.050111450254917145, 0.048548512160778046, 0.08084826171398163, 0.20806542038917542, 0.1789865493774414, 0.12948450446128845, -0.1876337230205536, 0.24179311096668243, -0.2216888666152954, -0.1823403388261795, 0.05801687017083168, 0.05341685935854912, -0.08065608143806458, 0.17658092081546783, 0.32972192764282227, -0.040954653173685074, -0.2969164550304413, 0.13006174564361572, -0.39080020785331726, 0.17866414785385132];2
1587;[0.10776447504758835, 0.02204662561416626, 0.14407145977020264, -0.06976914405822754, -0.04004143178462982, 0.13129563629627228, 0.11006109416484833, -0.30210989713668823, 0.07798469066619873, -0.013536006212234497, 0.05232124775648117, -0.21315833926200867, -0.00385158509016037, 0.028190335258841515, -0.1244434267282486, -0.44081011414527893, -0.022402554750442505, 0.02961021102964878, 0.10990611463785172, -0.0957271009683609, 0.08779929578304291, -0.07429354637861252, 0.07758034020662308, 0.25707459449768066, -0.1682039350271225, 0.060517579317092896, 0.1496129184961319, -0.24251911044120789, -0.006680622696876526, -0.027303338050842285, -0.11035047471523285, 0.31892871856689453, 0.20595543086528778, -0.11136568337678909, 0.09532687067985535, 0.10889896005392075, 0.2834784686565399, 0.0248083658516407, 0.08662249892950058, -0.13375559449195862, -0.006902024149894714, -0.18057826161384583, 0.10875891149044037, 0.044897280633449554, -0.007664002478122711, -0.12194285541772842, -0.04707983881235123, -0.08852723240852356, -0.024280965328216553, 0.12701177597045898, -0.12483629584312439, -0.04861189424991608, 0.11947531253099442, 0.15853768587112427, -0.018618836998939514, 0.1623161882162094, 0.07620830833911896, -0.20905134081840515, -0.045396074652671814, -0.05354832112789154, -0.0566960945725441, -0.234408438205719, -0.15465635061264038, 0.14895972609519958];0
1593;[-0.017258919775485992, -0.13435816764831543, 0.011416665278375149, 0.02379249781370163, 0.11889902502298355, 0.15510337054729462, 0.26706498861312866, -0.24410377442836761, 0.19394835829734802, -0.1303144097328186, 0.21148669719696045, -0.20463132858276367, 0.068333700299263, -0.057474903762340546, 0.04923596233129501, -0.23138689994812012, -0.11669568717479706, 0.061172470450401306, -0.02477441355586052, -0.06923741847276688, 0.18202759325504303, -0.05782970413565636, -0.03325141966342926, 0.07188974320888519, -0.11725103855133057, -0.03545708954334259, 0.16004323959350586, -0.10080306231975555, -0.20885780453681946, -0.15671753883361816, -0.044207606464624405, 0.27650389075279236, 0.07636888325214386, -0.025040045380592346, 0.008511681109666824, 0.07012470811605453, 0.06917783617973328, -0.0025498904287815094, 0.14924174547195435, -0.06988298892974854, -0.03300634026527405, -0.0510861873626709, 0.021098196506500244, 0.05999869853258133, -0.0249958336353302, -0.09606029093265533, -0.1818164885044098, 0.02668893337249756, -0.030111046507954597, 0.23646853864192963, -0.13222672045230865, -0.045440368354320526, 0.0009971335530281067, -0.014316737651824951, -0.1525578796863556, 0.05965743958950043, 0.042938198894262314, -0.09851731359958649, 0.12891939282417297, -0.23342546820640564, -0.07008975744247437, -0.10249509662389755, -0.14029449224472046, 0.09775741398334503];1
1603;[0.10512156039476395, 0.12218668311834335, 0.25873011350631714, -0.1462026685476303, -0.020916230976581573, 0.29473912715911865, 0.18394166231155396, -0.1580010950565338, 0.1808823198080063, -0.019904546439647675, 0.07763885706663132, -0.1961662471294403, -0.18597400188446045, 0.05727899819612503, 0.011343680322170258, -0.44819992780685425, -0.28556615114212036, 0.11313839256763458, 0.09178534895181656, -0.1551002413034439, 0.45602670311927795, -0.3298282027244568, 0.13907089829444885, 0.32395657896995544, -0.3218335211277008, 0.031838804483413696, 0.43508362770080566, 0.03675517439842224, -0.2732246518135071, 0.06952957808971405, -0.30150261521339417, 0.5398668646812439, 0.2396813929080963, -0.37234053015708923, 0.04295521602034569, 0.04441523179411888, 0.29628080129623413, -0.17754127085208893, 0.13618949055671692, 0.10123135149478912, 0.12700365483760834, 0.002849576063454151, 0.06883765757083893, 0.047840990126132965, 0.1573580503463745, -0.31347137689590454, -0.05838857591152191, -0.19978752732276917, -0.20359736680984497, 0.30586493015289307, -0.04555555060505867, -0.17927469313144684, 0.1961098313331604, 0.15279130637645721, -0.3338928520679474, 0.175469771027565, -0.013862859457731247, -0.33443179726600647, -0.4082411527633667, -0.3681762218475342, 0.345244437456131, -0.36408525705337524, 0.01924801617860794, -0.004891037940979004];0
1609;[0.011265642940998077, -0.10351759195327759, 0.20777511596679688, -0.03017488867044449, -0.05200668424367905, 0.16130366921424866, 0.12950795888900757, -0.27689728140830994, 0.07907333225011826, -0.10774193704128265, 0.27952906489372253, -0.15857017040252686, 0.001707911491394043, -0.07519596070051193, -0.06222255527973175, -0.5023978352546692, -0.08975853770971298, 0.1111353263258934, -0.02852923795580864, -0.017002016305923462, 0.18102069199085236, -0.11720327287912369, 0.09880039095878601, 0.3018909692764282, -0.07969902455806732, -0.03844491392374039, 0.2144777923822403, -0.09672939777374268, -0.18611738085746765, -0.037796422839164734, -0.18735238909721375, 0.3664672374725342, 0.07107856124639511, -0.1888802945613861, 0.08758418262004852, 0.14570479094982147, 0.18276797235012054, 0.003655020147562027, 0.15065114200115204, -0.06628911197185516, -0.03303370624780655, -0.07796802371740341, 0.11356329172849655, 0.06930072605609894, -0.028392069041728973, -0.24279305338859558, -0.15789854526519775, -0.01754462718963623, -0.03917942941188812, 0.16651393473148346, -0.1848384290933609, -0.04694714397192001, 0.05685989558696747, 0.04353579878807068, -0.05411066114902496, 0.06595779955387115, 0.08078525960445404, -0.23545828461647034, -0.046400509774684906, -0.17789050936698914, 0.03614185377955437, -0.2723803222179413, -0.16892874240875244, 0.21462364494800568];0
1617;[0.1658822000026703, 0.0628986656665802, 0.12713178992271423, -0.07870415598154068, -0.12215441465377808, 0.3564174473285675, 0.028244569897651672, -0.23146875202655792, 0.17241382598876953, 0.014466173946857452, 0.035733021795749664, -0.27809807658195496, -0.128586545586586, -0.0009546857327222824, -0.060745589435100555, -0.45106711983680725, -0.2485542744398117, 0.12693096697330475, 0.02149260975420475, -0.1451621651649475, 0.281488835811615, -0.368169903755188, 0.1394708901643753, 0.2710345685482025, -0.33604609966278076, 0.0029798131436109543, 0.4085110127925873, 0.07868283987045288, -0.25358545780181885, 0.07121343910694122, -0.26982101798057556, 0.544153094291687, 0.2103397399187088, -0.3172556757926941, 0.13213539123535156, -0.011626791208982468, 0.22552521526813507, -0.14123663306236267, 0.22689087688922882, 0.04337231442332268, 0.14148055016994476, 0.09691816568374634, 0.11821907758712769, 0.12297361344099045, 0.06412681192159653, -0.2552590072154999, -0.2947801649570465, -0.2800579071044922, -0.3331431448459625, 0.19347605109214783, -0.01959208771586418, -0.27390575408935547, 0.344505250453949, 0.306039959192276, -0.3535541296005249, -0.020610060542821884, 0.030102167278528214, -0.38291382789611816, -0.14796259999275208, -0.2647911310195923, 0.16010482609272003, -0.3777914345264435, 0.049461789429187775, -0.03801510110497475];0
1620;[-0.025485724210739136, -0.08473360538482666, 0.10785979777574539, 0.006766758859157562, 0.13422292470932007, 0.023620858788490295, 0.25503572821617126, -0.2511190176010132, 0.15079864859580994, -0.18287330865859985, 0.28155651688575745, -0.12866903841495514, 0.18884159624576569, -0.10925503075122833, -0.0022013410925865173, -0.21497085690498352, -0.13871827721595764, 0.09202467650175095, 0.01895854063332081, -0.0005892068147659302, 0.17952284216880798, -0.059956956654787064, -0.06190812587738037, 0.058483920991420746, -0.09802863001823425, -0.05993872135877609, 0.1888284683227539, -0.13586854934692383, -0.08664500713348389, -0.08899164199829102, -0.1252424716949463, 0.28962355852127075, 0.12308341264724731, -0.06530124694108963, -0.04712994396686554, 0.1658351719379425, 0.10721825063228607, 0.17340846359729767, 0.0741071105003357, -0.10782480984926224, 0.06136034429073334, -0.126540869474411, 0.06560951471328735, 0.07611729949712753, 0.07005206495523453, -0.07126631587743759, -0.04263998195528984, 0.045025914907455444, 0.015584072098135948, 0.22131100296974182, -0.01779981330037117, 0.09165963530540466, 0.07383918017148972, -0.03360264003276825, -0.1425960212945938, 0.13069047033786774, 0.019587326794862747, -0.11816154420375824, -0.03205808624625206, -0.1783071607351303, -0.02080070599913597, -0.12466184049844742, -0.23034590482711792, 0.08363021165132523];0
1624;[-0.023824460804462433, -0.08666366338729858, 0.1865653395652771, -0.11062858253717422, -0.0001535564661026001, 0.12616656720638275, 0.07536914944648743, -0.26799118518829346, 0.08863211423158646, -0.13884229958057404, 0.2014821320772171, -0.18573801219463348, 0.02003374695777893, -0.11810082942247391, 0.0009422153234481812, -0.40430405735969543, -0.003137335181236267, 0.0427836999297142, -0.0470217689871788, -0.06885512173175812, 0.1094602718949318, -0.07099022716283798, 0.017153382301330566, 0.2688237726688385, -0.1876024752855301, -0.09937836974859238, 0.23608288168907166, -0.10949160158634186, -0.17660561203956604, -0.11990073323249817, -0.07815912365913391, 0.3231083154678345, 0.048067010939121246, -0.24046075344085693, 0.09671825170516968, 0.12196566164493561, 0.20945923030376434, 0.06314191222190857, 0.04699698090553284, -0.044634412974119186, 0.007528197020292282, -0.03133172541856766, 0.08271530270576477, 0.07946822792291641, 0.05207254737615585, -0.17713961005210876, -0.20686255395412445, 0.004022553563117981, -0.04802752286195755, 0.10743832588195801, -0.16719269752502441, -0.04819558933377266, 0.07138708233833313, 0.20994488894939423, 0.023226995021104813, 0.08932942152023315, 0.009817667305469513, -0.16989052295684814, -0.018175043165683746, -0.19726526737213135, -0.09935495257377625, -0.16961506009101868, -0.2259421944618225, 0.21721185743808746];0
