Iteration,Seed,Model,Phase,Accuracy,Precision,Recall,F1-score,ROC_AUC,TP,TN,FP,FN,Time_sec
Run_1,42,texture_only,Train,0.8349514563106796,0.8376528442317918,0.8375167055167055,0.836910586475804,0.9527308555248034,344,-68,68,68,43736.32
Run_1,42,texture_only,Test,0.6629213483146067,0.682672064777328,0.6645628078817735,0.6706689536878216,0.8437207702693704,59,-30,30,30,360.44
Run_2,1042,texture_only,Train,0.8470873786407767,0.8473979820454581,0.8502434602434604,0.8481762028451332,0.9579604515593957,349,-63,63,63,44700.52
Run_2,1042,texture_only,Test,0.6741573033707865,0.6802070888092393,0.6792898193760263,0.6793650793650793,0.831260253870969,60,-29,29,29,358.7
Run_3,2042,texture_only,Train,0.8398058252427184,0.8417302798982188,0.842850038850039,0.8414899262624758,0.954363737576852,346,-66,66,66,44672.05
Run_3,2042,texture_only,Test,0.6853932584269663,0.6865763546798029,0.6894499178981937,0.6878654970760234,0.8411639613448546,61,-28,28,28,358.36
Run_4,3042,texture_only,Train,0.8543689320388349,0.8566775130085976,0.8554772079772079,0.8559921911791859,0.9566443037954441,352,-60,60,60,51864.92
Run_4,3042,texture_only,Test,0.6629213483146067,0.6625960061443932,0.6686165845648603,0.6651686687984328,0.8558812738696185,59,-30,30,30,359.36
Run_5,4042,texture_only,Train,0.8252427184466019,0.8281509971198991,0.8295839160839161,0.8267382165099938,0.9485452269167561,340,-72,72,72,46714.86
Run_5,4042,texture_only,Test,0.6741573033707865,0.6863368486352357,0.6797003284072249,0.6820770809841848,0.8374547135456881,60,-29,29,29,359.7
Run_6,5042,texture_only,Train,0.8398058252427184,0.8419929669134075,0.8418592333592333,0.8413730892334111,0.9521963296269872,346,-66,66,66,44623.15
Run_6,5042,texture_only,Test,0.651685393258427,0.6621600621600622,0.6558908045977011,0.658563909411367,0.8301779539530946,58,-31,31,31,359.85
Run_7,6042,texture_only,Train,0.837378640776699,0.8376050420168067,0.8409518259518259,0.8385280578954301,0.9555365627849021,345,-67,67,67,50789.61
Run_7,6042,texture_only,Test,0.6853932584269663,0.6829948227797691,0.6926826765188835,0.6854990583804144,0.8471377856975205,61,-28,28,28,358.59
Run_8,7042,texture_only,Train,0.8543689320388349,0.8557826439578263,0.858004921004921,0.8547386526608275,0.9575290902333591,352,-60,60,60,44653.33
Run_8,7042,texture_only,Test,0.6404494382022472,0.6713804713804713,0.6416769293924466,0.6481920725279359,0.8225674506362005,57,-32,32,32,358.57
Run_9,8042,texture_only,Train,0.8446601941747572,0.8448312268883327,0.8475929810929811,0.8457143747354765,0.9572677322136425,348,-64,64,64,49867.79
Run_9,8042,texture_only,Test,0.6404494382022472,0.6425154320987655,0.6462951559934318,0.6438321018062397,0.8327853120411732,57,-32,32,32,359.56
Run_10,9042,texture_only,Train,0.8131067961165048,0.8136964463479212,0.8176903651903652,0.8143521117973673,0.9417736572696184,335,-77,77,77,36344.3
Run_10,9042,texture_only,Test,0.6629213483146067,0.6674188193796037,0.6703612479474549,0.6662406959017129,0.8438646137200926,59,-30,30,30,358.44
